"municipio","departamento","num_especies"
"LETICIA","AMAZONAS",71
"PUERTO SANTANDER","AMAZONAS",65
"BUENAVENTURA","VALLE DEL CAUCA",64
"SOLANO","CAQUETÁ",61
"MEDELLÍN","ANTIOQUIA",54
"FLORENCIA","CAQUETÁ",54
"FRONTINO","ANTIOQUIA",54
NULL,NULL,53
"QUIBDÓ","CHOCÓ",50
"PUERTO LÓPEZ","META",49
"CUMARIBO","VICHADA",48
"TARAPACÁ","AMAZONAS",47
"LA PEDRERA","AMAZONAS",45
"PUERTO LEGUÍZAMO","PUTUMAYO",44
"MIRITÍ - PARANÁ","AMAZONAS",40
"MITÚ","VAUPÉS",40
"UNGUÍA","CHOCÓ",39
"INÍRIDA","GUAINÍA",38
"BELÉN DE LOS ANDAQUÍES","CAQUETÁ",38
"MOCOA","PUTUMAYO",36
"EL CANTÓN DEL SAN PABLO","CHOCÓ",36
"ACANDÍ","CHOCÓ",36
"PUERTO ARICA","AMAZONAS",35
"PUERTO NARIÑO","AMAZONAS",34
"LA CHORRERA","AMAZONAS",34
"VIGÍA DEL FUERTE","ANTIOQUIA",34
"SAN LUIS","ANTIOQUIA",33
"URRAO","ANTIOQUIA",33
"BARBACOAS","NARIÑO",32
"MANIZALES","CALDAS",32
"TARAIRA","VAUPÉS",32
"TADÓ","CHOCÓ",32
"BAHÍA SOLANO","CHOCÓ",32
"CALI","VALLE DEL CAUCA",31
"SAN JOSÉ DEL GUAVIARE","GUAVIARE",30
"RIOSUCIO","CHOCÓ",30
"EL CARMEN DE ATRATO","CHOCÓ",30
"GUAPI","CAUCA",30
"CIMITARRA","SANTANDER",28
"SAN VICENTE DEL CAGUÁN","CAQUETÁ",28
"BARRANCOMINAS","GUAINÍA",28
"JURADÓ","CHOCÓ",27
"TURBO","ANTIOQUIA",27
"ANORÍ","ANTIOQUIA",27
"PACOA","VAUPÉS",27
"SAN CARLOS","ANTIOQUIA",26
"MUTATÁ","ANTIOQUIA",26
"EL LITORAL DEL SAN JUAN","CHOCÓ",25
"CALAMAR","GUAVIARE",25
"AMALFI","ANTIOQUIA",24
"LA MACARENA","META",24
"DAGUA","VALLE DEL CAUCA",23
"VILLAVICENCIO","META",23
"CONDOTO","CHOCÓ",22
"RÍO QUITO","CHOCÓ",22
"SIPÍ","CHOCÓ",22
"BAJO BAUDÓ","CHOCÓ",21
"PEREIRA","RISARALDA",21
"SANTA MARTA","MAGDALENA",21
"SAN ANDRÉS DE TUMACO","NARIÑO",21
"LA GUADALUPE","GUAINÍA",20
"PAPUNAHUA","VAUPÉS",20
"EL CARMEN DE VIBORAL","ANTIOQUIA",20
"CALIMA","VALLE DEL CAUCA",20
"SAN JOSÉ DEL PALMAR","CHOCÓ",20
"SONSÓN","ANTIOQUIA",20
"EL ENCANTO","AMAZONAS",19
"PUERTO GAITÁN","META",19
"SUAITA","SANTANDER",19
"URIBE","META",19
"LA MONTAÑITA","CAQUETÁ",19
"SAN RAFAEL","ANTIOQUIA",19
"CARURÚ","VAUPÉS",19
"MISTRATÓ","RISARALDA",18
"ORITO","PUTUMAYO",18
"TIERRALTA","CÓRDOBA",17
"BUCARAMANGA","SANTANDER",17
"MIRAFLORES","GUAVIARE",17
"MONTELÍBANO","CÓRDOBA",17
"MEDIO ATRATO","CHOCÓ",17
"PUERTO CARREÑO","VICHADA",17
"SAN VICENTE DE CHUCURÍ","SANTANDER",17
"PAZ DE ARIPORO","CASANARE",17
"UNIÓN PANAMERICANA","CHOCÓ",16
"ALTO BAUDÓ","CHOCÓ",16
"SAN JUAN DE ARAMA","META",16
"EL CARMEN DE CHUCURI","SANTANDER",16
"VISTAHERMOSA","META",15
"EL RETORNO","GUAVIARE",14
"PUEBLO RICO","RISARALDA",14
"CACAHUAL","GUAINÍA",14
"PUERTO COLOMBIA","GUAINÍA",14
"ISTMINA","CHOCÓ",14
"PUERTO WILCHES","SANTANDER",14
"MEDINA","CUNDINAMARCA",14
"SAMANÁ","CALDAS",14
"ACEVEDO","HUILA",14
"MORELIA","CAQUETÁ",14
"MONTENEGRO","QUINDIO",14
"DIBULLA","LA GUAJIRA",13
"AGUAZUL","CASANARE",13
"ATRATO","CHOCÓ",13
"CRAVO NORTE","ARAUCA",13
"FILANDIA","QUINDIO",13
"JERICÓ","ANTIOQUIA",13
"LÓPEZ DE MICAY","CAUCA",13
"NORCASIA","CALDAS",13
"NUQUÍ","CHOCÓ",13
"PUERTO NARE","ANTIOQUIA",13
"SAN FRANCISCO","ANTIOQUIA",13
"SAN JOSÉ DEL FRAGUA","CAQUETÁ",13
"TULUÁ","VALLE DEL CAUCA",13
"SAN MARTÍN","META",12
"VILLAGARZÓN","PUTUMAYO",12
"QUIMBAYA","QUINDIO",12
"SALENTO","QUINDIO",12
"GUADUAS","CUNDINAMARCA",12
"CÉRTEGUI","CHOCÓ",12
"YOPAL","CASANARE",12
"PUERTO PARRA","SANTANDER",12
"SAN PEDRO DE URABÁ","ANTIOQUIA",12
"PIEDECUESTA","SANTANDER",12
"TOLEDO","NORTE DE SANTANDER",12
"RICAURTE","NARIÑO",12
"CALARCÁ","QUINDIO",12
"YARUMAL","ANTIOQUIA",12
"SANTA ROSA DE CABAL","RISARALDA",12
"TURBACO","BOLÍVAR",11
"VALPARAÍSO","CAQUETÁ",11
"TONA","SANTANDER",11
"VITERBO","CALDAS",11
"MILÁN","CAQUETÁ",11
"YAVARATÉ","VAUPÉS",11
"SANTA MARÍA","BOYACÁ",11
"TAURAMENA","CASANARE",11
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",11
"FLORIDABLANCA","SANTANDER",11
"TAME","ARAUCA",11
"CHIMICHAGUA","CESAR",10
"SANTA ROSA","CAUCA",10
"SAN FELIPE","GUAINÍA",10
"IPIALES","NARIÑO",10
"MESETAS","META",10
"RIONEGRO","SANTANDER",10
"EL CAIRO","VALLE DEL CAUCA",10
"UBALÁ","CUNDINAMARCA",10
"TIMBIQUÍ","CAUCA",10
"PUERTO TRIUNFO","ANTIOQUIA",10
"GIRÓN","SANTANDER",10
"SAN FRANCISCO","PUTUMAYO",9
"ARMENIA","QUINDIO",9
"LA VICTORIA","AMAZONAS",9
"GUATAPÉ","ANTIOQUIA",9
"SAN PEDRO","VALLE DEL CAUCA",9
"ARBOLETES","ANTIOQUIA",9
"LEBRIJA","SANTANDER",9
"CARTAGENA DE INDIAS","BOLÍVAR",9
"COCORNÁ","ANTIOQUIA",9
"CAPARRAPÍ","CUNDINAMARCA",8
"CUBARRAL","META",8
"ACACÍAS","META",8
"SABANALARGA","CASANARE",8
"BETULIA","SANTANDER",8
"BOJAYÁ","CHOCÓ",8
"PUERTO RICO","META",8
"TÁMESIS","ANTIOQUIA",8
"ARAUQUITA","ARAUCA",8
"GÁMBITA","SANTANDER",8
"CHARALÁ","SANTANDER",8
"BELLO","ANTIOQUIA",8
"PUERTO BOYACÁ","BOYACÁ",8
"CHIGORODÓ","ANTIOQUIA",8
"BOLÍVAR","VALLE DEL CAUCA",8
"EL TAMBO","CAUCA",8
"CIÉNAGA","MAGDALENA",8
"MEDIO BAUDÓ","CHOCÓ",8
"JAMUNDÍ","VALLE DEL CAUCA",8
"PUERTO ASÍS","PUTUMAYO",8
"LA CUMBRE","VALLE DEL CAUCA",8
"CIRCASIA","QUINDIO",8
"PUERTO RICO","CAQUETÁ",7
"COLOSÓ","SUCRE",7
"PALMIRA","VALLE DEL CAUCA",7
"PALESTINA","CALDAS",7
"PAJARITO","BOYACÁ",7
"EL TARRA","NORTE DE SANTANDER",7
"SAN PABLO","BOLÍVAR",7
"GRANADA","ANTIOQUIA",7
"RETIRO","ANTIOQUIA",7
"SANTA BÁRBARA","SANTANDER",7
"SEGOVIA","ANTIOQUIA",7
"ARCABUCO","BOYACÁ",7
"VIJES","VALLE DEL CAUCA",7
"VICTORIA","CALDAS",7
"PUERTO SALGAR","CUNDINAMARCA",7
"TIBÚ","NORTE DE SANTANDER",7
"SAN JACINTO","BOLÍVAR",7
"ARMERO","TOLIMA",7
"LA DORADA","CALDAS",7
"AYAPEL","CÓRDOBA",7
"CANTAGALLO","BOLÍVAR",7
"PUEBLO NUEVO","CÓRDOBA",7
"YUMBO","VALLE DEL CAUCA",6
"ZONA BANANERA","MAGDALENA",6
"PALESTINA","HUILA",6
"PEQUE","ANTIOQUIA",6
"MONTERÍA","CÓRDOBA",6
"SAN ANTONIO DEL TEQUENDAMA","CUNDINAMARCA",6
"ZAPATOCA","SANTANDER",6
"SANTIAGO","PUTUMAYO",6
"IBAGUÉ","TOLIMA",6
"RIOSUCIO","CALDAS",6
"SANTIAGO DE TOLÚ","SUCRE",6
"TRUJILLO","VALLE DEL CAUCA",6
"PUERTO CAICEDO","PUTUMAYO",6
"SIBUNDOY","PUTUMAYO",6
"BARBOSA","ANTIOQUIA",6
"PURACÉ","CAUCA",6
"BARRANCABERMEJA","SANTANDER",6
"EL BAGRE","ANTIOQUIA",6
"SABANA DE TORRES","SANTANDER",6
"SAN JUAN NEPOMUCENO","BOLÍVAR",6
"LA TEBAIDA","QUINDIO",6
"LA PRIMAVERA","VICHADA",6
"MANÍ","CASANARE",6
"ITUANGO","ANTIOQUIA",5
"VILLETA","CUNDINAMARCA",5
"CAJIBÍO","CAUCA",5
"REMEDIOS","ANTIOQUIA",5
"SANTA ISABEL","TOLIMA",5
"ALGECIRAS","HUILA",5
"SAN FRANCISCO","CUNDINAMARCA",5
"SAN ZENÓN","MAGDALENA",5
"MARÍA LA BAJA","BOLÍVAR",5
"PUERTO GUZMÁN","PUTUMAYO",5
"SAN ONOFRE","SUCRE",5
"CIUDAD BOLÍVAR","ANTIOQUIA",5
"ARAUCA","ARAUCA",5
"OROCUÉ","CASANARE",5
"AGUSTÍN CODAZZI","CESAR",5
"MORICHAL","GUAINÍA",5
"VENECIA","ANTIOQUIA",5
"RIOFRÍO","VALLE DEL CAUCA",5
"SAN MARCOS","SUCRE",5
"GAMARRA","CESAR",5
"ARACATACA","MAGDALENA",5
"GUADALAJARA DE BUGA","VALLE DEL CAUCA",5
"GUAMAL","META",5
"GUARNE","ANTIOQUIA",5
"VILLAMARÍA","CALDAS",5
"SARAVENA","ARAUCA",5
"SANTO DOMINGO","ANTIOQUIA",5
"PAYA","BOYACÁ",4
"VALLEDUPAR","CESAR",4
"MONTERREY","CASANARE",4
"RIOHACHA","LA GUAJIRA",4
"SAN JACINTO DEL CAUCA","BOLÍVAR",4
"HONDA","TOLIMA",4
"SAN JOSÉ DE TOLUVIEJO","SUCRE",4
"SAN ROQUE","ANTIOQUIA",4
"SASAIMA","CUNDINAMARCA",4
"SAN SEBASTIÁN DE MARIQUITA","TOLIMA",4
"EL CERRITO","VALLE DEL CAUCA",4
"SANTA ROSA DE OSOS","ANTIOQUIA",4
"SAN LUIS DE GACENO","BOYACÁ",4
"MAGANGUÉ","BOLÍVAR",4
"SANTA CATALINA","BOLÍVAR",4
"ARGELIA","VALLE DEL CAUCA",4
"LA CALERA","CUNDINAMARCA",4
"TENA","CUNDINAMARCA",4
"BETANIA","ANTIOQUIA",4
"MEDIO SAN JUAN","CHOCÓ",4
"YACOPÍ","CUNDINAMARCA",4
"BOLÍVAR","SANTANDER",4
"EL PAUJÍL","CAQUETÁ",4
"PIJAO","QUINDIO",4
"ABRIAQUÍ","ANTIOQUIA",4
"JARDÍN","ANTIOQUIA",4
"CONCEPCIÓN","ANTIOQUIA",4
"RONCESVALLES","TOLIMA",4
"CHITAGÁ","NORTE DE SANTANDER",4
"SAN AGUSTÍN","HUILA",4
"ENCINO","SANTANDER",4
"CAMPAMENTO","ANTIOQUIA",4
"ALBANIA","CAQUETÁ",4
"PASTO","NARIÑO",4
"CUCUTILLA","NORTE DE SANTANDER",4
"LA ESTRELLA","ANTIOQUIA",4
"HATO COROZAL","CASANARE",4
"ENVIGADO","ANTIOQUIA",4
"TORO","VALLE DEL CAUCA",4
"ZARZAL","VALLE DEL CAUCA",4
"EL SANTUARIO","ANTIOQUIA",4
"NECHÍ","ANTIOQUIA",4
"TRINIDAD","CASANARE",3
"SAHAGÚN","CÓRDOBA",3
"SALAMINA","CALDAS",3
"SALGAR","ANTIOQUIA",3
"SAN ANTERO","CÓRDOBA",3
"GUADALUPE","HUILA",3
"CLEMENCIA","BOLÍVAR",3
"APÍA","RISARALDA",3
"SAN JUANITO","META",3
"APARTADÓ","ANTIOQUIA",3
"CARTAGO","VALLE DEL CAUCA",3
"VILLA DE LEYVA","BOYACÁ",3
"GÜICÁN DE LA SIERRA","BOYACÁ",3
"ANSERMANUEVO","VALLE DEL CAUCA",3
"HATO","SANTANDER",3
"SAN VICENTE FERRER","ANTIOQUIA",3
"EL ÁGUILA","VALLE DEL CAUCA",3
"SANTUARIO","RISARALDA",3
"SEVILLA","VALLE DEL CAUCA",3
"SINCELEJO","SUCRE",3
"JUNÍN","CUNDINAMARCA",3
"TALAIGUA NUEVO","BOLÍVAR",3
"ALEJANDRÍA","ANTIOQUIA",3
"TIQUISIO","BOLÍVAR",3
"CÁCHIRA","NORTE DE SANTANDER",3
"CARTAGENA DEL CHAIRÁ","CAQUETÁ",3
"LA JAGUA DE IBIRICO","CESAR",3
"LA JAGUA DEL PILAR","LA GUAJIRA",3
"CÁCERES","ANTIOQUIA",3
"BUGALAGRANDE","VALLE DEL CAUCA",3
"LA PAZ","CESAR",3
"LA PLATA","HUILA",3
"LA VEGA","CUNDINAMARCA",3
"LANDÁZURI","SANTANDER",3
"CAMPOHERMOSO","BOYACÁ",3
"LÍBANO","TOLIMA",3
"YOTOCO","VALLE DEL CAUCA",3
"LLORÓ","CHOCÓ",3
"EL DOVIO","VALLE DEL CAUCA",3
"YOLOMBÓ","ANTIOQUIA",3
"CONCORDIA","ANTIOQUIA",3
"EL PEÑÓN","SANTANDER",3
"MONIQUIRÁ","BOYACÁ",3
"BELTRÁN","CUNDINAMARCA",3
"BELMIRA","ANTIOQUIA",3
"NEIRA","CALDAS",3
"FILADELFIA","CALDAS",3
"CAUCASIA","ANTIOQUIA",3
"PACHO","CUNDINAMARCA",3
"PANA PANA","GUAINÍA",3
"PAUNA","BOYACÁ",3
"CUBARÁ","BOYACÁ",3
"PIAMONTE","CAUCA",3
"GACHALÁ","CUNDINAMARCA",3
"PLANETA RICA","CÓRDOBA",3
"PORE","CASANARE",3
"PROVIDENCIA","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",3
"GALERAS","SUCRE",3
"GÉNOVA","QUINDIO",3
"CUMARAL","META",3
"ZIPACÓN","CUNDINAMARCA",3
"CAREPA","ANTIOQUIA",3
"GÓMEZ PLATA","ANTIOQUIA",3
"RÍO DE ORO","CESAR",3
"DABEIBA","ANTIOQUIA",3
"RIONEGRO","ANTIOQUIA",3
"ROLDANILLO","VALLE DEL CAUCA",3
"MARINILLA","ANTIOQUIA",2
"YONDÓ","ANTIOQUIA",2
"MACEO","ANTIOQUIA",2
"LURUACO","ATLÁNTICO",2
"SAN PELAYO","CÓRDOBA",2
"EL COPEY","CESAR",2
"BARICHARA","SANTANDER",2
"SAN MARTÍN","CESAR",2
"LOS ANDES","NARIÑO",2
"ZARAGOZA","ANTIOQUIA",2
"SABANAS DE SAN ÁNGEL","MAGDALENA",2
"BUCARASICA","NORTE DE SANTANDER",2
"LEJANÍAS","META",2
"FUSAGASUGÁ","CUNDINAMARCA",2
"LA VICTORIA","VALLE DEL CAUCA",2
"SAN BENITO ABAD","SUCRE",2
"CAJAMARCA","TOLIMA",2
"CHINÚ","CÓRDOBA",2
"POPAYÁN","CAUCA",2
"DUITAMA","BOYACÁ",2
"SAN JOSÉ DE URÉ","CÓRDOBA",2
"EL CARMEN DE BOLÍVAR","BOLÍVAR",2
"SAN JOSÉ DE LA MONTAÑA","ANTIOQUIA",2
"PUEBLOVIEJO","MAGDALENA",2
"PUERRES","NARIÑO",2
"BUENAVISTA","QUINDIO",2
"VENADILLO","TOLIMA",2
"VALLE DEL GUAMUEZ","PUTUMAYO",2
"VALDIVIA","ANTIOQUIA",2
"URIBIA","LA GUAJIRA",2
"BAGADÓ","CHOCÓ",2
"ALBÁN","CUNDINAMARCA",2
"TURBANÁ","BOLÍVAR",2
"CARAMANTA","ANTIOQUIA",2
"TUCHÍN","CÓRDOBA",2
"VIANÍ","CUNDINAMARCA",2
"TOCAIMA","CUNDINAMARCA",2
"PUERTO LIBERTADOR","CÓRDOBA",2
"PUERTO LLERAS","META",2
"SAN JOSÉ DE CÚCUTA","NORTE DE SANTANDER",2
"SAN JERÓNIMO","ANTIOQUIA",2
"SAN CARLOS","CÓRDOBA",2
"LA CEJA","ANTIOQUIA",2
"ALBANIA","LA GUAJIRA",2
"EL BANCO","MAGDALENA",2
"ALCALÁ","VALLE DEL CAUCA",2
"TÁMARA","CASANARE",2
"SURATÁ","SANTANDER",2
"SUAZA","HUILA",2
"AMAGÁ","ANTIOQUIA",2
"ANDALUCÍA","VALLE DEL CAUCA",2
"ANDES","ANTIOQUIA",2
"CAICEDONIA","VALLE DEL CAUCA",2
"SILVANIA","CUNDINAMARCA",2
"SANTA ROSA","BOLÍVAR",2
"ANGELÓPOLIS","ANTIOQUIA",2
"ARANZAZU","CALDAS",2
"CONVENCIÓN","NORTE DE SANTANDER",2
"NUNCHÍA","CASANARE",2
"FALAN","TOLIMA",2
"EBÉJICO","ANTIOQUIA",2
"NOROSÍ","BOLÍVAR",2
"EL ROBLE","SUCRE",2
"OTANCHE","BOYACÁ",2
"SANTA BÁRBARA","NARIÑO",2
"RESTREPO","VALLE DEL CAUCA",2
"BARRANCAS","LA GUAJIRA",2
"YALÍ","ANTIOQUIA",2
"NARIÑO","NARIÑO",2
"PÁEZ","CAUCA",2
"BECERRIL","CESAR",2
"EL RETÉN","MAGDALENA",2
"CHAGUANÍ","CUNDINAMARCA",2
"BOCHALEMA","NORTE DE SANTANDER",2
"EL PEÑÓN","BOLÍVAR",2
"PAMPLONA","NORTE DE SANTANDER",2
"HATILLO DE LOBA","BOLÍVAR",2
"MARMATO","CALDAS",2
"CAIMITO","SUCRE",1
"CHIMÁ","CÓRDOBA",1
"CHIVOR","BOYACÁ",1
"CHOACHÍ","CUNDINAMARCA",1
"CICUCO","BOLÍVAR",1
"CIÉNAGA DE ORO","CÓRDOBA",1
"CAROLINA","ANTIOQUIA",1
"COLOMBIA","HUILA",1
"COLÓN","PUTUMAYO",1
"CONSACÁ","NARIÑO",1
"COPACABANA","ANTIOQUIA",1
"CÓRDOBA","QUINDIO",1
"COROZAL","SUCRE",1
"COTA","CUNDINAMARCA",1
"CUMBAL","NARIÑO",1
"CURUMANÍ","CESAR",1
"ABEJORRAL","ANTIOQUIA",1
"DONMATÍAS","ANTIOQUIA",1
"DOSQUEBRADAS","RISARALDA",1
"EL CARMEN","NORTE DE SANTANDER",1
"CANALETE","CÓRDOBA",1
"EL DONCELLO","CAQUETÁ",1
"EL GUAMO","BOLÍVAR",1
"CALDAS","ANTIOQUIA",1
"EL PASO","CESAR",1
"EL PEÑÓN","CUNDINAMARCA",1
"EL PIÑÓN","MAGDALENA",1
"ENTRERRÍOS","ANTIOQUIA",1
"ZAMBRANO","BOLÍVAR",1
"CAJICÁ","CUNDINAMARCA",1
"FLORIDA","VALLE DEL CAUCA",1
"FORTUL","ARAUCA",1
"FREDONIA","ANTIOQUIA",1
"FUNZA","CUNDINAMARCA",1
"GALAPA","ATLÁNTICO",1
"GARAGOA","BOYACÁ",1
"GIGANTE","HUILA",1
"GIRALDO","ANTIOQUIA",1
"GIRARDOTA","ANTIOQUIA",1
"GRAMALOTE","NORTE DE SANTANDER",1
"GRANADA","CUNDINAMARCA",1
"GUACA","SANTANDER",1
"GUACARÍ","VALLE DEL CAUCA",1
"GUACHETÁ","CUNDINAMARCA",1
"GUADALUPE","SANTANDER",1
"GUALMATÁN","NARIÑO",1
"GUASCA","CUNDINAMARCA",1
"HERRÁN","NORTE DE SANTANDER",1
"CHÁMEZA","CASANARE",1
"CAICEDO","ANTIOQUIA",1
"LA ARGENTINA","HUILA",1
"CACHIPAY","CUNDINAMARCA",1
"LA MESA","CUNDINAMARCA",1
"LA PAZ","SANTANDER",1
"LA PEÑA","CUNDINAMARCA",1
"LA PINTADA","ANTIOQUIA",1
"LA PLAYA","NORTE DE SANTANDER",1
"LÉRIDA","TOLIMA",1
"LORICA","CÓRDOBA",1
"LOS CÓRDOBAS","CÓRDOBA",1
"MAJAGUAL","SUCRE",1
"MALAMBO","ATLÁNTICO",1
"MALLAMA","NARIÑO",1
"MANZANARES","CALDAS",1
"MARIPÍ","BOYACÁ",1
"MARULANDA","CALDAS",1
"BOYACÁ","BOYACÁ",1
"MIRAFLORES","BOYACÁ",1
"MOMIL","CÓRDOBA",1
"MOMPÓS","BOLÍVAR",1
"MONTECRISTO","BOLÍVAR",1
"MOSQUERA","CUNDINAMARCA",1
"NÁTAGA","HUILA",1
"NATAGAIMA","TOLIMA",1
"NECOCLÍ","ANTIOQUIA",1
"NILO","CUNDINAMARCA",1
"NIMAIMA","CUNDINAMARCA",1
"NÓVITA","CHOCÓ",1
"ZETAQUIRA","BOYACÁ",1
"OBANDO","VALLE DEL CAUCA",1
"OPORAPA","HUILA",1
"BARRANQUILLA","ATLÁNTICO",1
"ORTEGA","TOLIMA",1
"OVEJAS","SUCRE",1
"PÁEZ","BOYACÁ",1
"PALMAR DE VARELA","ATLÁNTICO",1
"PANDI","CUNDINAMARCA",1
"PARATEBUENO","CUNDINAMARCA",1
"PATÍA","CAUCA",1
"PEDRAZA","MAGDALENA",1
"PIOJÓ","ATLÁNTICO",1
"PIVIJAY","MAGDALENA",1
"PLATO","MAGDALENA",1
"BARANOA","ATLÁNTICO",1
"BALBOA","RISARALDA",1
"PUERTO BERRÍO","ANTIOQUIA",1
"PUERTO COLOMBIA","ATLÁNTICO",1
"PUERTO ESCONDIDO","CÓRDOBA",1
"ARMENIA","ANTIOQUIA",1
"ARJONA","BOLÍVAR",1
"ARGELIA","ANTIOQUIA",1
"PULÍ","CUNDINAMARCA",1
"RECETOR","CASANARE",1
"RESTREPO","META",1
"RICAURTE","CUNDINAMARCA",1
"RÍO IRÓ","CHOCÓ",1
"RONDÓN","BOYACÁ",1
"SABANALARGA","ATLÁNTICO",1
"SALADOBLANCO","HUILA",1
"SAN ANDRÉS","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",1
"SAN BERNARDO","CUNDINAMARCA",1
"SAN CAYETANO","CUNDINAMARCA",1
"ZIPAQUIRÁ","CUNDINAMARCA",1
"APULO","CUNDINAMARCA",1
"SAN JUAN DE BETULIA","SUCRE",1
"SAN JUAN DE URABÁ","ANTIOQUIA",1
"SAN LUIS DE PALENQUE","CASANARE",1
"SAN LUIS DE SINCÉ","SUCRE",1
"SAN MARTÍN DE LOBA","BOLÍVAR",1
"SAN MIGUEL","PUTUMAYO",1
"ANOLAIMA","CUNDINAMARCA",1
"ANGOSTURA","ANTIOQUIA",1
"SANTA BÁRBARA","ANTIOQUIA",1
"SANTA LUCÍA","ATLÁNTICO",1
"SANTA ROSA DEL SUR","BOLÍVAR",1
"SANTA ROSALÍA","VICHADA",1
"SANTANDER DE QUILICHAO","CAUCA",1
"SIMACOTA","SANTANDER",1
"SIMITÍ","BOLÍVAR",1
"SITIONUEVO","MAGDALENA",1
"SOCORRO","SANTANDER",1
"ANAPOIMA","CUNDINAMARCA",1
"SOTAQUIRÁ","BOYACÁ",1
"SUPÍA","CALDAS",1
"TARAZÁ","ANTIOQUIA",1
"TARQUI","HUILA",1
"TEORAMA","NORTE DE SANTANDER",1
"TIMBÍO","CAUCA",1
"TITIRIBÍ","ANTIOQUIA",1
"TUBARÁ","ATLÁNTICO",1
"ÁBREGO","NORTE DE SANTANDER",1
"AIPE","HUILA",1
"AGUADAS","CALDAS",1
"URUMITA","LA GUAJIRA",1
"USIACURÍ","ATLÁNTICO",1
"VEGACHÍ","ANTIOQUIA",1
"VERGARA","CUNDINAMARCA",1
"AGRADO","HUILA",1
"VILLA CARO","NORTE DE SANTANDER",1
"VIOTÁ","CUNDINAMARCA",1
"CEPITÁ","SANTANDER",1
"CERETÉ","CÓRDOBA",1
"CERINZA","BOYACÁ",1
"CHALÁN","SUCRE",1
"ARBOLEDAS","NORTE DE SANTANDER",0
"RIOBLANCO","TOLIMA",0
"QUIPILE","CUNDINAMARCA",0
"CHINÁCOTA","NORTE DE SANTANDER",0
"QUINCHÍA","RISARALDA",0
"PURIFICACIÓN","TOLIMA",0
"PITALITO","HUILA",0
"PÁCORA","CALDAS",0
"MURILLO","TOLIMA",0
"MATANZA","SANTANDER",0
"BRICEÑO","ANTIOQUIA",0
"MANAURE BALCÓN DEL CESAR","CESAR",0
"MAGÜÍ","NARIÑO",0
"LIBORINA","ANTIOQUIA",0
"LA GLORIA","CESAR",0
"DURANIA","NORTE DE SANTANDER",0
"CARMEN DEL DARIÉN","CHOCÓ",0
"TOGÜÍ","BOYACÁ",0
"SUPATÁ","CUNDINAMARCA",0
"CHOCONTÁ","CUNDINAMARCA",0
"SOCOTÁ","BOYACÁ",0
"CHARTA","SANTANDER",0
"SAN MATEO","BOYACÁ",0
"RISARALDA","CALDAS",0
